Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
Peknut Butter,15/01/21 06:16:48,0,no,no,You need to make a new song apologizing to the universe (which seems to be taking your songs as a challenge) 2021 has already brought enough!!!,view comment
Ravenclaw Hestia31,15/01/21 08:50:28,2,no,no,I swear ever time I see New Zealand on non New Zealand media I feel like I'm been given a shoutout,view comment
Matthew Livingstone,15/01/21 17:29:14,0,no,no,Ouchie,view comment
Samantha Kennedy,15/01/21 18:50:21,1,no,no,"""Bring it on 2021""
2021: Oh don't worry, I've got some 'fun' things for the first week!",view comment
Eleanor Freebern,15/01/21 21:51:17,0,no,no,I can't wait for next year's video,view comment
AresofSparta96,15/01/21 21:54:45,0,no,no,"Malinda: ""Bring it on 2021""
2021: ..... Well you asked for it",view comment
The Dragon Queen 1998,15/01/21 22:36:09,0,no,no,Whats the name of the song/melody they used at 3:50?,view comment
•TxddyxAesthetic•,15/01/21 23:15:53,0,no,no,"wait a sec-
you know that us kiwis exist? Americans and many others don't agnolaige us..only Australia
Okay enough blabber, get your ass over here",view comment
Lisa Davis,15/01/21 23:26:56,2,no,no,"omg I just read the credits, Jon Cozart aka paint helped write this!!!!!!!!
Only took 79 views to realize that if not more.....",view comment
Tennessee McGraw,16/01/21 00:52:15,0,no,no,"When she says 2021 will be better: Capitol Hill riot, Trump's second impeachment, and death threats in the 1st 14 days.
🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️",view comment
Sieren Tokiio,16/01/21 04:06:41,0,no,no,I just subbed,view comment
BelGarath,16/01/21 04:21:35,0,no,no,"Bring it on 2021... 20121, ""Challenge accepted"". Seriously, it took ONE week.",view comment
Yahir Garcia,16/01/21 07:28:49,0,no,no,Ok for one Christmas sucked in 2020 second I didn't like my Christmas gift it was stupid t shirt size small and sweater size small i always hate size small so everytime my parents always buy me the clothes I don't like and it doesn't fit me like every year and then my little brother got a Nintendo switch and 2 Mario games and I was like 🙁🙁🥺😢😢😢 i was almost about to cry well the only Christmas gift I like was 100$ money i never get a ps5 😭😭😭 or something 😭😭😭😭😭.,view comment
The BookWorm,16/01/21 08:12:18,1,no,no,"We made it, 
It’s 2021.",view comment
Rey the cat,16/01/21 15:41:20,1,no,no,It warms my heart to know Malinda supports BLM and the LGBT+ community❤️,view comment
Boothy,16/01/21 17:12:41,0,no,no,IM ON MY 6 YEAR OLD BROS ACC ANS HE WATCHED THIS OMG HELP WHAT SHALL I DO,view comment
Kimberly Van Duijkeren,16/01/21 20:08:42,0,no,no,this Made me cry lol  <3 <3,view comment
MrMagnat007,16/01/21 22:29:21,1,no,no,"I think 2020 could have been summed up  as ""GAH!, F*ck, No!,Why? How ? Damn, Sh!t """,view comment
Luke The Legend,16/01/21 23:01:06,0,no,no,"GAH

FUCK

NO

WHY

HOW

DAMN

SHIT

UUUUUUUGGGGHHHHH


yeah that sums up this year. Not even kidding I’d much rather die than relive this year again.",view comment
Autumn Field stables,17/01/21 00:19:18,2,no,no,When you sang we we hit by a pandemic and empty streets and empty school and millions lives unpended. Made me feel like absolute crap and I didn't feel like that was possible.,view comment
Geography Ferret,17/01/21 03:10:05,0,no,no,"Me in 2021: they got it right? I guess. Anyway, great video!",view comment
Tiffany Leigh,18/01/21 00:00:49,1,no,no,"But who can forget that 2021 will forever be a reminder that 2020 won




2020 won😔",view comment
Zoogomoogo,18/01/21 00:56:28,0,no,no,Now lets Google Translate it,view comment
MirkaHK,18/01/21 02:13:16,1,no,no,I think you can already make a song for 2021. :),view comment
Connie Swift,18/01/21 04:49:02,1,no,no,"Yay! 2021 has not been 100% awful so far! also, inauguration day is in 3 days.",view comment
sh don't mind me,18/01/21 13:21:44,1,no,no,5:30 well that aged well,view comment
Umar Wazir,18/01/21 14:50:23,2,no,no,Should tell them about the Capital Coup?,view comment
Freenchyy,18/01/21 15:58:11,3,no,no,3:12 why?,view comment
Bendy A,18/01/21 16:50:37,1,no,no,"Well as a survivor from the Beirut explision, i am more than happy to get rid of the jinx year 2020, wishing you all the best for 2021",view comment
Mary Catherine Albenzi,18/01/21 20:58:28,2,no,no,0:06 do you see any Fnaf Characters?,view comment
Addipie07,20/01/21 12:33:19,2,no,no,"Malinda: 2021 bring it on
January 6th 2021: u sure about that?",view comment
Octavious T. Talium,20/01/21 13:15:36,0,no,no,"3:53
The name of the song she parodies in this section please.",view comment
Rebeeqa,20/01/21 14:20:50,1,no,no,1:40  i subscribed after she mentioned hamilton.,view comment
Raibeart,20/01/21 17:12:03,0,no,no,thanks for the big Reminder not everything was a Shit show,view comment
blxxdbranches,20/01/21 21:23:39,0,no,no,"""let's aim for a future where were less depressed"" i- yeah-",view comment
XboxGamer07 YT,21/01/21 00:18:46,0,no,no,"ok, great voice, beautiful singing, horrible motive
there is no upside to 2020
and biden is not a good thing",view comment
Matthew Cox,21/01/21 03:12:00,0,no,no,"...how the hell am I only just now find thing this, at a quarter 'til February 2021!?",view comment
Ash_Wolfielover,22/01/21 01:43:44,0,no,no,NO don't bring 2021 there's a new type of coronavirus!,view comment
Mulqti,22/01/21 09:54:57,0,no,no,Harry Styles started 2021 off amazing,view comment
Lily Baxter,22/01/21 10:51:21,0,no,no,I started crying during the line “The little victories made this year.” That hit me hard,view comment
eviebuny2004 web,22/01/21 17:13:51,0,no,no,"You sound so good. My fav part is about New Zealand, and the muumy",view comment
Aaron S,25/01/21 21:33:23,0,no,no,I like how Malinda bleeps out swearing but Whitney Avalon made a Christmas song wit f***,view comment
Ninja Nature,25/01/21 22:19:08,1,no,no,"Okay can someone make this comic and then send me a link cause I'm lazy

A man walks out of a door labled 2016 and walks into a door labled 2017,when he comes out the other end he says ""wow that year was...something"" does the same for every year  but is  more exasperated each time  and when he sees the 2021 door he says ""ya..nope no Thank you "" and walks back into 2020.",view comment
Maureen McCormick,26/01/21 14:38:29,0,no,no,i hope that this year something bad wont happen its gonna be so bad tho TwT,view comment
Nerd Swan,26/01/21 17:46:53,1,no,no,"BrInG iT oN 2021!!!!!!!
Everyone: Yes! 2020 is done
Me: And then there was a riot at the Capitol! Go 2021",view comment
CatLady,26/01/21 22:04:27,0,no,no,Yup 2021 is not better so far,view comment
Leomon2004,27/01/21 06:00:22,1,no,no,"""2020's not cursed enough this year."" XD",view comment
Taeyang and family R,27/01/21 21:28:33,0,no,no,Idea for 2021 christmas omptimist and pessimist swap roles,view comment
Calum Hughes,28/01/21 00:15:14,0,no,no,I love how the dark malinda side (let’s call her lockdown malinda) Have a break down and swear while singing (lockdown malinda wearing black) also the lockdown malinda I’m on about is the honest one lmao,view comment
Luke,28/01/21 05:58:07,0,no,no,"The fact that this year has been so crazy that you could show someone from 2019 this song and they wouldn’t even know about the pandemic until nearly 4 minutes in.

Yes, the song does hint towards the virus in some of the headlines but if it’s your first time listening to the song, you’re probably paying more attention to the lyrics and less to the headlines.",view comment
Leen Foon,28/01/21 06:48:07,0,no,no,Why is this so beautiful it made me cry,view comment
эмуэр гос,28/01/21 14:13:20,0,no,no,2020 part 2: there i come!,view comment
Lancebear,28/01/21 21:31:19,1,no,no,Is no one talking about the bit with Vin Diesel releasing music 😭,view comment
Michael Ragusa,29/01/21 15:19:28,0,no,no,God bless Donald Trump and curse Sleepy Socialist Joe Biden!,view comment
Gillian Young,29/01/21 16:06:47,1,no,no,It all started with a gorilla....,view comment
Emma Lou,29/01/21 21:15:22,3,no,no,Well I can assure you the 2021 is not any better than 2020,view comment
Ochen C,29/01/21 23:50:47,0,no,no,Horror,view comment
K0PSTL,30/01/21 06:50:24,0,no,no,Why am I crying?. I've listened to this song like 4 times since it came out(I'm posting this Jan 30 2021),view comment
Vera van Riet,30/01/21 10:32:33,0,no,no,"Update on 2021, it listened when asked to bring it on",view comment
Abdur Rouf,31/01/21 18:37:37,0,no,no,Your voices are amazing,view comment
pikamochzo TV,01/02/21 09:18:09,0,no,no,"Women's rights ⚡
Black lives matter 🖤
Human rights for all 🙌",view comment
Blooming Magic Rose,08/11/42 00:00:00,3,no,no,0:25 - 1:05,view comment
Carrot Stick,06/08/57 00:00:00,0,no,no,Your pessimism won.,view comment
Nuroge Tolayo,26/10/43 00:00:00,4,no,no,"Oh past Malinda, good thing you didn’t know about 2021 yet :’3",view comment
Jill Genocide,01/02/86 16:10:45,0,no,no,Idk guys not 2 weeks into 2021 and the capitol capture happened (2020 II Electric Boogaloo),view comment
Aidan Tyler,08/09/78 00:00:00,3,no,no,Can we just go ahead and skip to the 2021 Christmas video?,view comment
Scraps Archer,29/10/46 00:00:00,0,no,no,WHAT! I just realised you don’t have 1 mill. This is not right!,view comment
Twix and Other Trix,13/03/40 00:00:00,1,no,no,"Low-key, why do I feel like 2021 is just going to be a remake of 2020?? But like all remakes it’s worse",view comment
alanr4447a,01/02/43 16:10:41,2,no,no,"2021's message so far, unfortunately, to 2020, from BTO:
_""B-B-B-Baby, you just ain't seen n-n-n-nothin' yet!""_",view comment
Werewolf Lover,01/02/09 16:10:54,0,no,no,CHALLENGING 2021 WAS A MISTAKE TAKE IT BACK AAAAAAAAAAAAAAAAA,view comment
Pvt Read,01/02/58 16:11:47,1,no,no,"Whelp, if you're looking for good news here in 2021



You're F***ed



Intersection, q ananon, fox news hating biden, sure trumps out but more are dying and now he's got  huge mess, so far 3+ 7.0 quakes and its not even February",view comment
Frank Tuite,01/02/88 16:10:53,0,no,no,still watching,view comment
Colin Townsend,01/02/17 16:10:58,2,no,no,"Watching this on the 14th of January 2021, and wondering if it's actually the 45th of December 2020....",view comment
Miah DeMelfi,01/02/00 16:11:36,0,no,no,I like watching this a few weeks in 2021 where we've already had a terrible year. And we aren't even a month in. We're doing great.👍🏼,view comment
pakki,01/02/14 10:31:02,1,no,no,"Optimistic Malinda: ""... you good?""

Pessimistic Malinda, curled up in her chair, clutching her knee: _""DO I LOOK LIKE-""_",view comment
Diana Delagardi,01/02/55 16:11:57,0,no,no,"can someone list the songs please
Can't tell what most of them are(",view comment
# lovingly,01/02/74 16:10:39,1,no,no,"Well..  with whats going on here in the US, them weeks sure did mean a lot!",view comment
Brandon Lee,01/02/04 16:11:00,0,no,no,"“Oh merry Christmas”
“Honest Christmas”
“Christmas is canceled fuck it all”",view comment
RG Miller,01/02/37 16:10:52,1,no,no,Remember the times before the attempted coup? 🙂,view comment
confused,01/02/46 16:10:40,1,no,no,All I can say is thank FUCK I live in New Zealand,view comment
Hello,01/02/48 16:10:47,1,no,no,2:08 I'm Polish,view comment
Isabelle Hamilton,05/11/31 00:00:00,1,no,no,So we 're only a month in and I already fear this years honest Christmas song.,view comment
Hello,01/02/47 10:31:02,1,no,no,3:35,view comment
Emma The Enigma,01/02/54 10:31:02,0,no,no,1:49 Psst... Gorillaz. They put out an album and nine music videos in 2020,view comment
silvana silva,01/02/02 16:08:51,2,no,no,This are the best cookies,view comment
TheNachoFriend,01/02/10 16:08:43,2,no,no,Cookie time!!! 🎄😃,view comment
KAITLYN TAYLOR,14/12/20 19:56:51,23,no,no,"I can not wait for you all to try these Christmas Cookies!!! 🎄🥛 Also, We are hours away from reaching 10,000 Subscribers!! 🥳 Watch More Christmas Recipes Here - https://bit.ly/37ijXw3",view comment
Catania Momma Italia,14/12/20 20:52:38,5,no,no,Cookies are too pretty to eat!,view comment
Nathanial Alvarez,14/12/20 20:55:48,4,no,no,"Oh Nooo i missed the premiere again! but these look very good i love gingerbread, and sugar cookies! there one of my favs!🤩🍄 
Edit: the editing is also really good!",view comment
Eveline Caroline Huang [Lienhua MingMei Huang],14/12/20 20:56:37,3,no,no,🎄🎄🎄 Yohohoho Merry Christmas 🙆🙆🙆,view comment
Blanca Guerrero,14/12/20 21:12:20,3,no,no,Thank you! Making these very soon 🤤,view comment
JasonTheWorldisYours,14/12/20 21:14:42,3,no,no,Perfect Christmas cookies recipe,view comment
talia kaplan,14/12/20 21:20:59,2,no,no,i love sugar cookies  and i haven't  found a good recipe for sugar cookies but i think i just found  one,view comment
A Quarter Baked,14/12/20 21:21:06,3,no,no,Great video! I loved the snow flake. Its so pretty 😍,view comment
Leah-Marie Giselle,14/12/20 21:21:09,3,no,no,"Kaitlyn, you & your cookies are perfection!!",view comment
Teri T,14/12/20 21:28:15,3,no,no,So fun to watch! And the cookies are beautiful! Thankyou! 😋🎄💕,view comment
Leah-Marie Giselle,14/12/20 21:30:24,2,no,no,You don’t have to pop them in the freezer before you bake?,view comment
Natalija paradiso,14/12/20 22:29:09,3,no,no,"What a great ,easy recipe...they look to good to eat 👌❤",view comment
여행 윌프로 / WillPro Travels,14/12/20 22:47:23,17,no,no,"I'm gonna hold on to the baking for now, but this video is so much fun to watch! Hopefully as I keep watching, I'll learn more of baking ^^",view comment
Ma’s Videos,14/12/20 23:24:17,1,no,no,Making these right now 🤤🍪 🎅🏽🎄⛄️,view comment
Ninoska Alaniz,14/12/20 23:40:00,1,no,no,Hi Kaitlyn I can’t wait to make this,view comment
Lisa Gill,15/12/20 01:15:29,1,no,no,❤️🙏🌸,view comment
JOURNALS AESTHETICS By Aditi Badwe,15/12/20 01:35:35,1,no,no,Well explained...beautiful tutorial xoxo 😘,view comment
Tiffany Vang,15/12/20 02:08:08,1,no,no,Yummy delicious cookies,view comment
Yo Yo,15/12/20 02:47:49,3,no,no,"It’s been a long time since I’ve been here! None the less, I came back to support you as always.",view comment
Johnny Martinez,15/12/20 03:59:32,4,no,no,"The cookies look soo pretty, cute, and yummy! I’m planning to make gingerbread men for Christmas! ❤️💚🥰🎄",view comment
Samantha Sawyer,15/12/20 05:01:51,2,no,no,Yummy cookies😋the designs is so cute and the snowman cute Merry Christmas⛄,view comment
aaHANSOLO,15/12/20 07:04:11,2,no,no,those cookies look so good!!,view comment
Yushira Sanah,15/12/20 13:08:51,1,no,no,They look so beautiful and easy to make! Is it ok if I just put a piece of chocolate on top of the cookies instead of icing? And what is meringue powder?,view comment
yolylovely scraps,15/12/20 16:11:41,1,no,no,thank you i will try it look very easy to make thank you for sharing . do you have one on gingerbread cookies.,view comment
Silver Skater,15/12/20 16:13:51,2,no,no,"Super happy I subscribed, finally have a gluten free Christmas cookies 
Bless you",view comment
yolylovely scraps,15/12/20 16:19:47,1,no,no,how long you bake it and what nimber to preheat the oven please,view comment
Sugar Boo Bella,15/12/20 18:05:53,1,no,no,"These cookies look gorgeous and delicious! 😍😋 Also, thank you for the useful tips, I'll make sure the only pearls hitting my teeth are my own. 😉",view comment
Debbie altman,15/12/20 18:36:31,1,no,no,Looks delicious.,view comment
Elizabeth Harte,15/12/20 19:18:22,2,no,no,Great recipe! Thank you!,view comment
viFamezz,15/12/20 22:53:08,2,no,no,Your videos are visually appealing ❤️,view comment
Lucy B,15/12/20 23:04:15,6,no,no,"I want to make 4 cookie recipes already just this week, but seeing this video I KNOW I NEED them! I might be able to do them next week. Fingers crossed 🤞😂❤️",view comment
Backwoods Girl85,16/12/20 01:59:44,1,no,no,Girl you know I'm gonna bake some for our grands!,view comment
"Paws, Fins and Feathers",16/12/20 08:26:46,1,no,no,"Hi! ❤️
Love your videos. 
Also waiting eagerly for no bake recipes. And your twist on Pakistani recipes. 

Just like you, I've decided to follow my passion and started a knowledge based channel. Can you help me out in spreading the word? 💖
Any tips will be appreciated. 
Love your recipes.",view comment
CJ EATS,17/12/20 01:10:19,1,no,no,Hello,view comment
Bake That!,17/12/20 02:13:43,2,no,no,These cookies are gorgeous!,view comment
Gabriela Libanio,17/12/20 08:32:37,1,no,no,Loved your video!!,view comment
Madelynn DeMille,17/12/20 22:12:13,11,no,no,In the process of making these! It’s my first time and I plan to make these every year. Thank you!!!,view comment
Carolyn Jackson,18/12/20 17:02:09,2,no,no,Ngl I don't even eat cookies but THESE JUST GET ME SO HYPE TO EAT!!! THEM and I missed the premiere  😅 ngl last night' I watch u hit 10k im so happy for u! I watch all your vids two! Also I will be there to watch u hit a mill😁 also my name is tony!!,view comment
QueenOfSaigon,18/12/20 18:12:16,2,no,no,Just made my dough!,view comment
Alma Santoy,19/12/20 04:56:58,4,no,no,THANK YOU FOR THIS RECIPE IT WAS SO HELPFUL (THEY LOOK SO GOOD),view comment
Becca B,22/12/20 05:14:56,1,no,no,Awwe I got the bags and tips but don't know how to connect them lol help,view comment
Creative Dreaming,22/12/20 09:04:18,2,no,no,*My family doesn't think I can make good christmas cookies so I am here to prove them wrong!* 😼😼😼,view comment
Aziza Umarova,22/12/20 10:22:03,4,no,no,These were the BEST cookies I have EVER MADE!!! Thank you! I will make them every year now,view comment
L Playz,22/12/20 10:27:56,2,no,no,Thanks! I just got a new set with a Christmas spatula and snowflake cookie cutter. I needed a recipe for cookies so I can use my new stuff!,view comment
Adlen Gilbert,22/12/20 15:23:23,4,no,no,I’m baking these for my family and I was wondering if they were sweet enough or are they just plain with not much taste?also how many cookies and icing does this make,view comment
World of gatcha Life,22/12/20 16:59:29,3,no,no,Send me some plz,view comment
Joselyn Delarosa,22/12/20 17:04:19,3,no,no,This really is true to its title. EASY cookie recipe. Love this so far and I'm going to make these today with my younger siblings.,view comment
bsbl_brass,22/12/20 18:55:03,4,no,no,Wow this really blew up didn't it,view comment
Summah,22/12/20 20:49:29,2,no,no,"Love this vid, but how is raw egg whites in frosting safe?",view comment
Milan Mayes,23/12/20 00:56:40,1,no,no,Easy?,view comment
Princess Mervi,23/12/20 01:06:28,4,no,no,"Loved how you explained everything, and the Bible verse in the end ☺️🙏🏾",view comment
Manoj Rana,23/12/20 03:35:10,2,no,no,I made these cookies and they are amazing😋😋,view comment
Jennifer Ochoa,23/12/20 05:08:07,5,no,no,I used this recipe today. And I just had to come on here and say it was the absolute best recipe I’ve ever tried. The taste is just perfection! Thanks for sharing! 😁,view comment
BreezyBxbble,23/12/20 14:13:54,2,no,no,"What a lovely, well explained batch of Christmas cookies! 🎄✨",view comment
Kamilė,23/12/20 14:45:14,4,no,no,"Hi! I just put the cookies in the oven, and I have some leftover cookie dough, can I freeze it and then use some other time? ☺️",view comment
l v n x i a,23/12/20 16:50:54,7,no,no,"Hi! Young baker here, did you use the same amount of frosting for your cookies or you made more?",view comment
Melissa Ponce,23/12/20 17:21:59,2,no,no,I really like your  sugar cookies you are such a great baker Kaitlyn  you are such a beautiful and gorgeous woman blessings for you and your family ❄️☃️🌲,view comment
jacinda Ward,23/12/20 18:22:14,3,no,no,Can I use liquid food coloring?,view comment
ABIGAIL Thomas,23/12/20 19:01:52,2,no,no,nice,view comment
Abby Lynch,23/12/20 20:02:43,2,no,no,"I really enjoyed this video , subscribed 😎😁😁💗💗",view comment
Ashley Garcia,24/12/20 02:20:27,0,no,no,Are these cookies hard ?,view comment
Ashley Garcia,24/12/20 02:20:59,1,no,no,Are the cookies hard and how can I make them sweeter ?,view comment
sulaima asad11,24/12/20 04:07:56,3,no,no,Merry Christmas! awosome great recipe i mean not everyday that someone shares their real recipe those cookies look so bright and delicious i want to try it now!,view comment
sulaima asad11,24/12/20 04:14:36,2,no,no,Kaitlyn please dont think that i dont see or even watch ur videos i get the notification and when im free i watch it but i dont find time to write a comment so just know from the bottom of my heart i am always here just a little late on comments sorry but thanks bye.,view comment
Haiwei Yu,24/12/20 13:25:14,1,no,no,my mom didn’t want doesn’t like frosting so we just decorated ourself,view comment
erla mamaj,24/12/20 16:28:45,2,no,no,🌲⛄️🥛🍪😍 Just perfect. thank you for showing us this recepie🌲⛄️🥛🍪😍,view comment
Sk8ter_XD 1,24/12/20 19:06:03,3,no,no,these look delicious but what if I don’t have baking powder? 😧😅,view comment
June Awad,24/12/20 22:29:01,2,no,no,Wow 🤩,view comment
Xalek Batista,24/12/20 23:26:10,2,no,no,The egg whites have to be pasturated?,view comment
Carson Wang,25/12/20 03:27:08,4,no,no,hi,view comment
JPB🖤,25/12/20 20:37:22,2,no,no,"Hello!, I don't know if you already answered this question but can I freeze the cookie dough and for how long?",view comment
Aravdeep Mann,28/12/20 05:12:54,2,no,no,Love love loved the recipe,view comment
Nesrin Yahi,29/12/20 12:56:07,0,no,no,How many beans you  have cooked,view comment
Aravdeep Mann,29/12/20 15:43:09,1,no,no,I donor have cookie molds what can I use instead of them,view comment
Aravdeep Mann,30/12/20 05:26:56,3,no,no,So I had made the cookies today at they were a great success my mom loved them I’m so proud at myself thanks to u,view comment
Erick Smith,30/12/20 19:33:28,1,no,no,I changed all of the notifications to all because Mrs. Kaitlyn is an absolute sweetheart. Don't know why they were off.  Loved the Christmas cookie recipe!,view comment
Ruddy Aja,03/01/21 05:52:29,1,no,no,Hi guys,view comment
Lucian Huja,10/01/21 17:03:40,0,no,no,"my dough doesn t really come together as yours , what can I add to make it stay ? :c",view comment
The Coffeys,16/01/21 11:03:33,0,no,no,there is no egg in this recipe?,view comment
L & B,###############################################################################################################################################################################################################################################################,5,no,no,I plan to make these so my family can decorate them on Christmas Eve🥰🥰 did you use unsalted or salted butter ?,view comment
Molika Ponn,01/02/67 16:08:40,8,no,no,"The detail you put into making this, wow! Can’t wait to make Christmas cookies, thank you!",view comment
Haley Leal,28/11/61 00:00:00,2,no,no,Okay you are absolutely adorable. Subscribed 🥰,view comment
Kathy Achziger,01/02/61 16:08:41,3,no,no,I love them.,view comment
Kayla Marie WRLD,17/11/33 00:00:00,3,no,no,I loveee this thx also new subsciber!!,view comment
Debi Hediger,06/03/31 00:00:00,2,no,no,Are all G F,view comment
Yennifer Cedillo Ramos,01/02/12 16:09:54,1,no,no,Omg Thank You So Much for the recipe because my way is way more stuff but yours is🤩🤩on how much stuff YOU added,view comment
ninis ariel,01/02/33 11:26:00,9,no,no,Wow! These look adorable. I can’t wait to try the recipe and decorate them with my family. Thank you for sharing,view comment
Would you rather,01/02/32 16:08:42,2,no,no,"Its my first time to make sugar cookies and this video is the right one.
(By the way, ur voice is so smooth and relaxing)",view comment
L & B,01/02/18 16:08:43,2,no,no,Omg I just made them haha right after watching this video💖 they came out so good! Can’t wait to decorate them🥰,view comment
Ninoska Alaniz,01/02/40 10:37:45,1,no,no,"Pllzzz Kaitlyn make cake pops.
I’m rlly want to try them, I have never found a good recipe.
But all urs are amazing that’s y I rlly want u to make them.
Love from young pastry chef Ariana",view comment
Sara Hamadache,01/02/37 16:09:43,2,no,no,Is it okay if I use salted butter?,view comment
d_e_n_i 1,01/02/64 16:09:37,1,no,no,is this a no chill bake? or?,view comment
Fernanda Castro,01/02/73 16:08:52,2,no,no,can i use baking soda instead of baking powder or would that ruin the cookies?,view comment
Would you rather,01/02/22 18:45:00,2,no,no,"And I can't wait until u upload video, because I always try every thing u bake and they turn out great and yummy!",view comment
Noor Omar,01/02/21 16:08:42,2,no,no,"WOW you're so beautiful and I like your videos and I watch your videos and even try to make them and it turns so yummy, delicious,great,fabulous  and good:)",view comment
Jazzy_Kitty_ Queen,01/02/19 21:37:00,11,no,no,OMG just made these this morning they are the best sugar cookies ever!!! They are not too sweet and I love that. Made the with my sisters they had so much fun 🤩. Thank you Kaitlyn Taylor!!! Happy Holidays!!!,view comment
Alexis DaSilva,01/02/38 22:34:00,1,no,no,KAITLYN!!!! 17K ALREADY LETS GOOOO!!!!! 🎉🎊🍾,view comment
Alexis DaSilva,01/02/38 22:47:00,1,no,no,The cookies are delicious and look amazing! Thank you Kaitlyn for making it so easy to follow along!,view comment
Chelsie Dionisio,###############################################################################################################################################################################################################################################################,0,no,no,I really hope I have a friend like you. So thoughtful and sweet. 🥺🥺,view comment
merrelltwins,11/12/20 01:40:04,260,no,no,"Shop some of our favorite items from Nordstrom: 

Zella Plush Sweat Pants Set - 
https://bit.ly/3qHcU7w

Rose Quartz Facial Workout Set - 
https://bit.ly/3qI8mhh

Cloud Oversized Blanket 
https://bit.ly/33UWMWb

Food52 Bowl Set - 
https://bit.ly/2VVhaSQ

Vegan Cross Body Bag we bought for Emily -  
https://bit.ly/3gHWuaJ

MAC Frosted Eyeshadow Set - 
https://bit.ly/3gsDxsk

UGG Slippers - 
https://bit.ly/39Vjlhx

UGG Boots we bought for Corinna - - 
https://bit.ly/33YqGZS

Bose Speaker - 
https://bit.ly/3n4URWD",view comment
Ivan Clavero,04/01/21 15:35:39,1,no,no,Roni looks like an angel! 1:59,view comment
flawless fam,04/01/21 15:49:04,1,no,no,Their mom is so cute,view comment
Info about things,04/01/21 18:04:55,1,no,no,U guys said ur mommy is camera shy but I don't think so Ohhhhhh,view comment
Info about things,04/01/21 18:06:09,1,no,no,Ur mom actually is better than u guys just kidding y'all are so cute,view comment
Amanda Cockle,04/01/21 21:53:49,0,no,no,they gasp alot haahahahhaahahahahahhahahaahahha,view comment
Torrie Paige Gaston,05/01/21 01:02:06,0,no,no,There mom’s voice so calming,view comment
jackie boytv,05/01/21 05:19:31,0,no,no,literally the employees were probably MM fans,view comment
Angelica Gomez,05/01/21 05:42:02,0,no,no,I was really hoping they were both gonna open jackets at the end there lmaoo,view comment
Rayann's Adventures,05/01/21 09:51:38,0,no,no,I love how grateful they all are!,view comment
ItsCamren Yo,05/01/21 13:19:14,0,no,no,MAMA MERRELL IS SO CUTE,view comment
Theresa Jean Calunod,05/01/21 13:55:54,0,no,no,Donnalyn Bartolome a filipina vlogger is like your triplets cause she sound and kinda lookalike you hehe,view comment
Kushi Gobin,05/01/21 18:01:46,2,no,no,"Theirr dad's reaction to the belt was not like my dad's own
My dad would've said
""Now I can beat y'all when y'all misbehave"" But he doesn't actually beat us its always a joke",view comment
Saumyaa Shukla,05/01/21 18:10:47,1,no,no,I want a twin 😭 so bad,view comment
S.K,05/01/21 18:51:12,0,no,no,"every 5 seconds 
haaaa
haaaa
haaaa

haaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",view comment
